car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
H4,BLK 22 HAVELOCK RD,1.2880939,103.82937,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
H42A,"BLK 644,645,652,655 HOUGANG AVENUE 8",1.3726635,103.88218,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
H6,BLK 77/79 GANGES AVENUE,1.2913697,103.82899,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
H6M,BLK 78A INDUS RD,1.2912253,103.82793,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N
H8,BLKS 4-8 TAMAN HO SWEE,1.287727,103.830925,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
H87L,BLK 950 TO 976 HOUGANG AVE 9 /STREET 91,1.3784968,103.87859,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
H93L,"BLK 978C TO 981D, 982, 987A TO 988C BUANKOK CRESCENT/GREEN",1.3798003,103.880714,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
HCM,BLK 104A HENDERSON CRESCENT,1.289046,103.82156,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.1,N
HDBH,BLK 480 480 LORONG 6 TOA PAYOH,1.3322045,103.84832,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.1,Y
HE1,BLK 102/103/104 HENDERSON CRESCENT,1.2892221,103.82236,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
HE12,BLK 78/81 REDHILL LANE,1.28821,103.81865,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HE14,BLK 115 BUKIT MERAH VIEW,1.2857144,103.82225,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HE17,BLK 93/96 HENDERSON RD,1.2864231,103.82039,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HE19,ALEXANDRA RD,1.2905406,103.820984,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
HE22,BLK 105 HENDERSON RD,1.2900208,103.822845,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.2,N
HE24,BLK 116 BUKIT MERAH VIEW,1.2846681,103.820984,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HE3,BLK 116/117 BUKIT MERAH VIEW,1.284719,103.82171,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HE4,BLK 121/122 & 127 BUKIT MERAH VIEW,1.2834709,103.822784,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HE9,BLK 118/119 BUKIT MERAH VIEW,1.2837074,103.8212,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
