car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
A1,BLK 215 ANG MO KIO STREET 22,1.3667144,103.84171,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A10,BLK 201/202 ANG MO KIO STREET 22,1.368633,103.84452,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A100,BLK 650 ANG MO KIO STREET 61,1.3779875,103.842606,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,1.3670355,103.83818,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A12,BLK 229/230 ANG MO KIO ST 22,1.3685098,103.83868,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A13,BLK 232/233 ANG MO KIO ST 22,1.3680003,103.83681,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A15,BLK 226E-226H ANG MO KIO ST 22,1.3669676,103.840416,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A2,BLK 206/207 ANG MO KIO STREET 22,1.366237,103.84305,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A20,BLK 304/307/319 ANG MO KIO ST 31,1.3649434,103.84846,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.3681276,103.84631,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A23,BLK 347A ANG MO KIO AVENUE 3,1.3673354,103.848915,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
A24,BLK 338/340 ANG MO KIO ST 32,1.3647534,103.849396,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A25,BLK 330/337 ANG MO KIO AVE 8,1.3627694,103.85163,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A26,BLK 113/114/118 ANG MO KIO AVE 4,1.3727702,103.83545,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A27,BLK 108/109/110 ANG MO KIO ST 11,1.370363,103.83832,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A28,BLK 103/105/107 ANG MO KIO ST 11,1.37165,103.83746,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A29,BLK 347 ANG MO KIO AVENUE 3,1.3672262,103.84872,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A30,BLK 129/134 ANG MO KIO STREET 12,1.3709898,103.84242,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A30A,BLK 133 ANG MO KIO STREET 12,1.3702182,103.84276,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A31,BLK 119/128 ANG MO KIO ST 12,1.3704511,103.8437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A31A,BLK 125/126 ANG MO KIO STREET 12,1.3718593,103.84366,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A33,BLK 253/254 ANG MO KIO STREET 21,1.370021,103.834694,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
A34,BLK 422/425 ANG MO KIO ST 42,1.3683565,103.85167,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A35,BLK 426/428/435 ANG MO KIO ST 43,1.3686464,103.85408,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A36,BLK 436/443/445 ANG MO KIO ST 43,1.3664072,103.85528,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A37,BLK 446/449/453 ANG MO KIO ST 43,1.368113,103.85556,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A38,BLK 407/410/421 ANG MO KIO AVE 10,1.3639637,103.85459,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A39,BLK 401/405 ANG MO KIO AVE 10,1.361151,103.85407,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A4,BLK 217/220 ANG MO KIO AVENUE 1,1.3656917,103.841194,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A40,BLK 471/476 ANG MO KIO ST 44,1.3623562,103.85698,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A41,BLK 466/470 ANG MO KIO ST 44,1.364937,103.85693,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A42,BLK 461/465 ANG MO KIO ST 44,1.3665801,103.85736,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A43,BLK 457/458/460 ANG MO KIO ST 44,1.3659967,103.85927,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A44,BLK 459/456 ANG MO KIO ST 44,1.3672057,103.85899,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A45,BLK 570/578 ANG MO KIO ST 51,1.3709177,103.85523,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A47,BLK 562/565/560 ANG MO KIO STREET 54,1.3705581,103.859245,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A48,BLK 571/73 ANG MO KIO ST 51,1.3703712,103.85465,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A49,BLK 555/559 ANG MO KIO STREET 54,1.3713297,103.857796,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A50,BLK 548/552/556 ANG MO KIO STREET 54,1.3725225,103.85761,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A51,BLK 252/253A ANG MO KIO STREET 21,1.3694707,103.83437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.4,N
A52,BLK 701/716 ANG MO KIO AVE 3/6,1.3703854,103.846924,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A52L,BLK 700B/ 700C ANG MO KIO AVE 3/6,1.3692806,103.84614,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
A53,BLK 712A ANG MO KIO AVE 3/6,1.370865,103.84688,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.8,N
A54,BLK 727/728 ANG MO KIO AVE 6,1.3724344,103.84592,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A55,BLK 729/730 ANG MO KIO AVE 6/8,1.3736385,103.846664,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A56,BLK 725/730 ANG MO KIO AVE 8,1.3726987,103.847145,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A57,BLK 720/723 ANG MO KIO AVE 8,1.3720196,103.84696,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A58,BLK 721/722 ANG MO KIO AVE 8,1.372347,103.847725,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A59,BLK 547/551 ANG MO KIO ST 54,1.3738962,103.85814,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N
A60,BLK 540/546 ANG MO KIO ST 54,1.3744645,103.85591,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,1.3741704,103.85216,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A63,BLK 501/513/508 ANG MO KIO ST 52/53,1.3752171,103.849396,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A64,BLK 584/586 ANG MO KIO ST 51,1.3705349,103.85346,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A65,BLK 558/560 ANG MO KIO STREET 54,1.3710291,103.85942,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A66,BLK 601/604/603 ANG MO KIO AVE 5,1.3805449,103.83566,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A67,BLK 605/612 ANG MO KIO AVE 4/5,1.3796864,103.83781,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A68,BLK 620/624/626 ANG MO KIO ST 61,1.3818976,103.83985,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A69,BLK 623/625/627 ANG MO KIO ST 61,1.3816415,103.84194,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A7,BLK 212/213 ANG MO KIO STREET 23,1.3683925,103.8413,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A70,BLK 629/626 ANG MO KIO AVE 4,1.3806206,103.84011,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A71,BLK 628/632 ANG MO KIO ST 61,1.380009,103.840744,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A72,BLK 633/640 ANG MO KIO ST 61,1.3807609,103.84353,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A73,BLK 641/645 ANG MO KIO ST 61,1.3788482,103.84083,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A74,BLK 646/649 ANG MO KIO ST 61,1.3786517,103.8438,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A75,BLK 177/182 ANG MO KIO AVE 4,1.3762022,103.838684,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A76,BLK 613A ANG MO KIO AVENUE 4,1.3779771,103.83884,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2,N
A77,BLK 150/156 ANG MO KIO AVE 5,1.3763531,103.83998,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A78,BLK 157/163 ANG MO KIO AVE 4,1.3746947,103.83839,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A8,BLK 209/210 ANG MO KIO STREET 22,1.368756,103.84331,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A81,BLK 170/172 ANG MO KIO ST 13,1.3743556,103.83648,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A82,BLK 173/176 ANG MO KIO AVE 4,1.375675,103.836395,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A83,BLK 5022 TO 5095 ANG MO KIO IND PARK 2,1.3743075,103.860695,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A85,BLK 340 ANG MO KIO ST 32,1.3651074,103.84971,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A86,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO IND PARK 1,1.3618848,103.85652,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A87,BLK 462/463 ANG MO KIO ST 44,1.3668264,103.85789,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A88,BLK 348 ANG MO KIO AVE 3,1.3662807,103.84727,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A89,BLK 101/102 ANG MO KIO ST 11,1.3704592,103.83937,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A9,BLK 202/203 ANG MO KIO STREET 22,1.3680744,103.84439,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A90,BLK 625/627 ANG MO KIO ST 61,1.3820007,103.84125,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A94,BLK 104C ANG MO KIO STREET 11,1.3718598,103.83832,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
A95,BLK 323A ANG MO KIO AVENUE 3,1.3675187,103.8478,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
A98,BLK 259 ANG MO KIO AVE 2,1.3691643,103.831856,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A99,BLK 181 ANG MO KIO AVE 5,1.3769853,103.83721,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.3010633,103.85412,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y
ACM,BLK 98A ALJUNIED CRESCENT,1.3210043,103.88506,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N
AH1,BLK 101 JALAN DUSUN,1.3282835,103.84462,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
AK31,BLK 302/348 ANG MO KIO ST 31,1.3661205,103.846634,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK52,BLOCK 513 ANG MO KIO ST 53,1.3724387,103.850296,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
AK6,BLOCK 728 ANG MO KIO AVE 6,1.374836,103.84486,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,1.3766782,103.863846,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK9,ANG MO KIO AVENUE 9,1.383599,103.848366,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AM14,BLK 227 ANG MO KIO ST 23,1.368741,103.8403,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N
AM16,BLK 256A ANG MO KIO STREET 21,1.3703498,103.83572,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,BLK 308C ANG MO KIO AVE 1,1.36554,103.84462,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,BLK 260 ANG MO KIO ST 21,1.3688862,103.83453,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,BLK 309B ANG MO KIO ST 31,1.3646977,103.84609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,BLK 316B ANG MO KIO STREET 31,1.3645883,103.84766,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,BLK 255A ANG MO KIO ST 21,1.3705325,103.83437,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,BLK 455 ANG MO KIO ST 44,1.3686107,103.8573,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,BLK 588 ANG MO KIO STREET 52,1.3721783,103.85339,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,BLK 700 ANG MO KIO AVE 6,1.369915,103.846695,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM64,BLK 590 ANG MO KIO ST 51,1.371457,103.853096,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM79,BLK 596 ANG MO KIO STREEET 52,1.3723283,103.851326,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM80,BLK 130A ANG MO KIO ST 12,1.370647,103.84186,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM81,BLK 132A ANG MO KIO ST 12,1.3716393,103.84195,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM96,BLK 352A ANG MO KIO STREET 32,1.3640741,103.85094,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR1L,3 AND 5 DOVER ROAD,1.3038768,103.78263,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
AR1M,BLK 2A DOVER ROAD,1.3028487,103.78367,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
AR2L,BLK 26 AND 27 DOVER CRESCENT,1.3059132,103.78116,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
AR2M,BLK 28 DOVER CRESCENT,1.3047389,103.78168,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
AR5M,BLK 19A DOVER CRESCENT,1.3073435,103.78446,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR7L,12 TO 14 DOVER CLOSE EAST,1.3058077,103.78559,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
AR7M,BLK 12A DOVER CLOSE EAST,1.3047714,103.785194,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AR9,BLK 20/22/23 DOVER CRESCENT,1.3072844,103.78344,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.2855825,103.803215,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,1.2849113,103.80584,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
B10,BLK 404/413 BEDOK NORTH AVENUE 3,1.3290284,103.93371,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B10M,BLK 431 BEDOK NORTH ROAD,1.3292102,103.932526,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
B11,BLK 416/418 BEDOK NORTH AVENUE 2,1.328342,103.9304,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B12,BLK 420/421 BEDOK NORTH STREET 1,1.3275983,103.92788,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B13,BLK 414/425 BEDOK NORTH ROAD,1.3296533,103.92976,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B14,BLK 412/413 BEDOK NORTH AVENUE 2,1.3291591,103.93144,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B16,"BLKS 59, 62-65 NEW UPPER CHANGI ROAD",1.3235011,103.94056,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B17,BLK 52/57 NEW UPPER CHANGI ROAD,1.3242178,103.94186,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B19,"BLK 36-44, 60 BEDOK SOUTH ROAD",1.3219246,103.94096,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B20,BLK 67/73 BEDOK SOUTH ROAD,1.3197997,103.94342,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B21,BLK 74/82 BEDOK NORTH ROAD,1.3281779,103.94105,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
B23M,BLK 187 BEDOK NORTH ST 4,1.3306878,103.94064,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
B24,BLK 84/89 BEDOK NORTH AVENUE 4,1.3326472,103.93829,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
B24A,BLK 84 BEDOK NORTH STREET 4,1.3312631,103.93961,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
B26,BLK 98/100 BEDOK NORTH AVENUE 4,1.334308,103.94034,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
B27,BLK 101/106 BEDOK NORTH AVENUE 4,1.3341178,103.93804,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B28,BLK 107/110 BEDOK NORTH ROAD,1.3325448,103.93557,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B30,BLK 119/123 BEDOK NORTH STREET 2,1.3299428,103.93875,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B31,BLK 124/129 BEDOK NORTH STREET 2,1.3285012,103.93885,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B32,BLK 130/132 BEDOK NORTH STREET 2,1.3274107,103.93676,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B33,BLK 131/133 BEDOK NORTH AVENUE 3,1.3272408,103.9358,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B34,BLK 134/136 BEDOK NORTH AVENUE 3,1.3283123,103.93568,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B35,BLK 137/140 BEDOK NORTH AVENUE 3,1.329058,103.93517,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
B40,BLK 504/508 BEDOK NORTH STREET 3,1.3325499,103.93277,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
B42,BLK 509/511 BEDOK NORTH STREET 3,1.3324518,103.930824,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
B43,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,1.3311052,103.927605,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
B44,BLK 528/536 BEDOK NORTH STREET 3,1.3339713,103.927505,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
